name;#publications;#publishers;publishers;density
Usikov Institute of Radiophysics and Electronics;3;13;"7005379558; 15071715200; 8410056200; 55145417300; 8280079300; 7005685453; 8243361500; 9436027900; 57189708738; 9250016300; 7102723516; 57191301318; 55838147500";0,230769231
Ukranian State University of Railway Transport;3;12;"57208108029; 57191477655; 57221951904; 57219283089; 57193392620; 58025236500; 57190444591; 58026814300; 57208109791; 57208102161; 57193443393; 57190165613";0,25
Ukrainian State University of Science and Technologies;6;13;"35175708700; 57383979100; 57218682553; 58687903100; 57351021300; 57204433279; 57904574600; 28167901000; 26635896100; 57212527867; 57937623500; 57224201949; 57224202699";0,461538462
Ukrainian State University of Chemical Technology;5;14;"7103324615; 56032858200; 57200571876; 57256865000; 57195414738; 57256724300; 57256865100; 57214243715; 6602543276; 57257296400; 6603092887; 6506965067; 57256443700; 57201361365";0,357142857
Ukrainian State Research and Design Institute of Mining Geology;2;6;"57218902338; 6603130341; 55998595000; 56085165700; 25640789900; 56114584100";0,333333333
Ukrainian National Tchaikovsky Academy of Music;2;5;"57559970300; 58415975700; 57561071200; 57401915400; 58736267200";0,4
Ukrainian National Forestry University;9;20;"57216919565; 8375321100; 6506423873; 57215412992; 57216918199; 57205443474; 7006969346; 57211624233; 35740595600; 57191857455; 57205436690; 57219533387; 57204495055; 57189382765; 7102501366; 57956980800; 57204914282; 36806553300; 57189386777; 57188574773";0,45
Ukrainian Medical Stomatological Academy;2;10;"57218347313; 57216802987; 57216803049; 6602474465; 56801867100; 57195251497; 57216804100; 57192919609; 57193120681; 57210145344";0,2
Ukrainian Institute of Speleology and Karstology;2;1;6602857877;2
Ukrainian Hydrometeorological Institute;2;6;"6601986274; 37065976800; 57222156952; 57211316466; 7007124791; 36054459900";0,333333333
Ukrainian Engineering Pedagogics Academy;2;8;"57207844419; 57200206683; 57216508623; 57456117200; 57222626003; 57222619437; 57218570492; 57198156271";0,25
Ukrainian Engineering and Pedagogical Academy;2;5;"15071821900; 24468383200; 55327437400; 55791105200; 55210918900";0,4
Ukrainian Center of Environmental and Water Projects (UCEWP);2;11;"56394386300; 7004038641; 54892001000; 35084808600; 25649162000; 15753528900; 13409302200; 57189491663; 6602471681; 55943169700; 23988580700";0,181818182
