name;#publications;#publishers;publishers;density
National Technical University of Ukraine;64;168;"57283315000; 36601536300; 57471581200; 57200923626; 57190493523; 57205697128; 57202317022; 57194284517; 57202445990; 54881853400; 36442464300; 55644199700; 57969709800; 37122234100; 24328925200; 6603056281; 57197500560; 57939239500; 57203992591; 57215651657; 6602378430; 58186461000; 56431191900; 55976080600; 57195396428; 54421406500; 57218097527; 14057195000; 57200140387; 57219614167; 55027316700; 7004736801; 57190839451; 57202218042; 57219458405; 6603005027; 57204563085; 57282627600; 56667743100; 6701855242; 57216585721; 19934022600; 57204592405; 57211289386; 25723923500; 23995340900; 58092247800; 55635565800; 57219930986; 6506973943; 6506155716; 57210187912; 58020234700; 58033750900; 57216154212; 16467809500; 36976564300; 57195395611; 57191405413; 24476120400; 57927182900; 6506327117; 6603716749; 6602686355; 57197853409; 56422273200; 57190128564; 36961414200; 57039928300; 57198345549; 58774863300; 57928286300; 24830341800; 57927656100; 57433808700; 35772319200; 57223088770; 57223030605; 57188767957; 6602433771; 56658776800; 12794971700; 57197879839; 57238255300; 54421204800; 57282932100; 7003910200; 23487078800; 57223030513; 55497774300; 6603839045; 57219115843; 56431193100; 58509156300; 56217194100; 57205272467; 57202317133; 7006054301; 57208256914; 57211997828; 57198345363; 35583691500; 57446040900; 58708076700; 56656533400; 36442431200; 57331504400; 57457232400; 57212528006; 57197780361; 58145799300; 54397241100; 57201383152; 6602467716; 6507899760; 57928137900; 26532409000; 55676011800; 57191415579; 57216489440; 15127653000; 57206489823; 55394093100; 57202424721; 57191694395; 6507365226; 55962506500; 57443623200; 57216896812; 57219856647; 57201741595; 6603482200; 57208345238; 56335387700; 57197784980; 57207258986; 18434650900; 56925582100; 6701430548; 56412465200; 6506101039; 57204823861; 57195395231; 24479839700; 54398937000; 56941660900; 8897599900; 57970159700; 6602445011; 56989863700; 35772765100; 57190837823; 36994736400; 57373301800; 57210116999; 6508366556; 57208343213; 6602485938; 8986058000; 6701378673; 57226699554; 57202380400; 54420927200; 56011504700; 6507266216; 57211999546; 56979384300; 57219778439";0,380952381
National Technical University of Oil and Gas;2;7;"8342928100; 35093092400; 57194426734; 57693386400; 57217114020; 55601097900; 57189322677";0,285714286
National Technical University KPI;2;4;"57220219163; 57200206683; 57192681564; 55226627300";0,5
National Technical University 'Khpi';3;12;"35298713200; 57208944240; 7005418534; 57216346667; 57210554975; 57190372355; 57063459800; 57220184589; 57212035934; 58068998700; 57208851362; 19934020100";0,25
National Technical University 'KhPI';2;6;"57224200681; 36021571200; 57211758694; 57211756298; 57202229410; 57057781300";0,333333333
National Technical University 'Kharkiv Polytechnic Institute';9;30;"57216900848; 35726951000; 57189042150; 57202887287; 57201056432; 57192678518; 57196007565; 56108587300; 57203517746; 57222862929; 58288072500; 57202894400; 57224192472; 57035234800; 57196472683; 57219922495; 24722815200; 57217186929; 57216331944; 57164032300; 57211325182; 6602346708; 57189353945; 55367910400; 24723278200; 57189040595; 57196681058; 57210618400; 6506421350; 57147826000";0,3
National Technical University Kharkiv Polytechnic Institute;3;10;"57202031139; 57192678518; 58288072500; 35726951000; 55919249200; 55919231100; 57202033196; 57147826000; 57003477900; 35868216200";0,3
National Technical University “KhPI”;3;12;"57203515764; 7005418534; 57203517746; 57845103200; 58759267900; 57190372355; 57210554975; 57063459800; 57222569081; 57220834684; 6506997369; 57003477900";0,25
National Technical University “Kharkiv Polytechnic Institute”;22;56;"57433421100; 57904571600; 57189378467; 36632848400; 57214222033; 57208392673; 57189042150; 57202887287; 57211758694; 7202040387; 58298726000; 57057781300; 35868216200; 57209255658; 57394762700; 57208903412; 58288072500; 37461441200; 7102809642; 57202894400; 57211759171; 56448583600; 57208026293; 57208908631; 56239259600; 57202229410; 57003477900; 55793789400; 57208386633; 57209457767; 57216331944; 57192681564; 57215213793; 57208386010; 7202194490; 57201613700; 8561645900; 57211756298; 57211011200; 55919231100; 57208033405; 7005121594; 24723278200; 56529622600; 57224193995; 55817007400; 57203892286; 57212000432; 55879248100; 55967630400; 57210618400; 36439759000; 56153126500; 57208035249; 55225664000; 57208030894";0,392857143
"National Technical University ""Kharkiv Polytechnic Institute""";2;9;"55976743600; 57057781300; 57211756298; 57539418400; 8345715900; 57208109791; 57202229410; 57194525720; 57429718700";0,222222222
National Science Center “Kharkiv Institute of Physics and Technology”;2;6;"6506522300; 6603630963; 6508299844; 15070249400; 8527534800; 56386102300";0,333333333
National Pirogov Memorial Medical University;7;34;"58132939300; 57201998726; 57190955804; 58706462200; 57345778600; 57206348803; 57215124767; 57205724764; 57201489025; 57490932700; 58698225300; 57190951751; 57217102284; 6701352062; 57208026223; 58325335200; 6602161273; 58697952100; 6508306002; 57190955544; 36183732900; 57189007905; 56464309800; 57490593700; 57219377895; 7005121594; 14057195000; 58699765500; 57205719358; 7103366036; 57204584722; 57209683293; 36562638700; 57194239277";0,205882353
National Mining University of Ukraine;4;11;"26635281900; 12788930300; 57197590469; 57199053616; 50961141800; 55505567400; 55505886200; 50961760100; 55505566900; 8889501500; 6602112272";0,363636364
National Mining University;11;34;"55319986800; 55218181100; 12789223000; 55999106800; 55195700400; 57211205325; 57204396098; 56447086500; 55891727500; 55958409500; 55891511500; 55218474500; 55217727300; 57191610104; 8912448700; 6603223016; 56926935300; 57194415483; 56368867700; 55774311500; 55218475700; 57191161991; 56446599000; 55522250000; 57191582028; 55522762000; 56993391400; 57201484714; 57204396847; 55321436200; 57203935700; 55217669900; 24338443800; 57203923377";0,323529412
National Metallurgical Academy of Ukraine;7;24;"7103324615; 22984352500; 57208567860; 6603754039; 57234369600; 7004897887; 47161155900; 7004167496; 57208663602; 55991174800; 58598271300; 57208667731; 56509642500; 55941002700; 57193392620; 55505862900; 55832331700; 57218242332; 6507227339; 55505870900; 7005942636; 55505924200; 6506411952; 57203930916";0,291666667
National Center “Junior Academy of Sciences of Ukraine”;5;15;"57217055684; 57219988198; 57226798341; 56566707800; 57219987134; 57226791977; 57226800714; 57204966557; 57222569734; 57211134620; 6505861386; 57209797086; 57219988704; 57383114700; 57204963678";0,333333333
National Cancer Institute;3;19;"57041278500; 7801524917; 23492358700; 57204265439; 55819935700; 57211122886; 55885880600; 7005724983; 57204270571; 57201677136; 57208161915; 56465858000; 57208164469; 56049068900; 57416844700; 57204278880; 23493166200; 7003518498; 6603130136";0,157894737
National Aviation University of Ukraine;2;7;"7103245945; 57217113894; 57216293767; 57189386760; 57210340888; 57217113553; 11739691000";0,285714286
National Aviation University;93;211;"57219113476; 57188637896; 25823861700; 57211292766; 57210115741; 57209855333; 58203228300; 57209852882; 57211133927; 57209347660; 57208032662; 57433809000; 57207771092; 55976356500; 57219108044; 25651737800; 58204945300; 57216153384; 58697828100; 14826739900; 58680687600; 57468515900; 35610436800; 55320503900; 57190344215; 56030195500; 57217114234; 6604047415; 58697828000; 16435703700; 7201365396; 36184129600; 57216351290; 57218562418; 58680955600; 58547256600; 37007914500; 58698250900; 57217113412; 57203264737; 57204853251; 57204922790; 58698248700; 55635565800; 6506343856; 57211159943; 57219115681; 57219601185; 57208521755; 57226672923; 57209808104; 6508147258; 14826651000; 57265309000; 6602464229; 55635895100; 55855134300; 56085742600; 57209853883; 58658485700; 58775188400; 57202217441; 57216350021; 35622910600; 56110673500; 57871672100; 57188754744; 58204704500; 56114433000; 37007575500; 58183949400; 57216910771; 57989196900; 57192921573; 56017239300; 56029337600; 57200070322; 6603302497; 56512075000; 57188708598; 57215835371; 57219595284; 7005121594; 57433808700; 57210362424; 57193061952; 57219503514; 57412855700; 57208032368; 57222474797; 57219113872; 58351289800; 57206893179; 57225090479; 23396181700; 57211620576; 23478131700; 57196394977; 57207684678; 57219115491; 57202192920; 57408135600; 57219603237; 6506794881; 57202646153; 57193610360; 6601983603; 58127393300; 57195675241; 57792140600; 7103245945; 58547512600; 57249878000; 58171439000; 54401505000; 6701724538; 36762342200; 57216341955; 56910030600; 55961621600; 57432799500; 57433771100; 57188697920; 57216341926; 57188759044; 56293536700; 57211903866; 58698650400; 57219504325; 6507458643; 57204944661; 58172224700; 58518430000; 57193057763; 57191267865; 57214232255; 57216351280; 56030025900; 57189376248; 55318043900; 56123167300; 55225555200; 41661913400; 27868100200; 57208032638; 57204324241; 58698282700; 57219108896; 57699098500; 57211295978; 57205440189; 55960151500; 57193065119; 57432943600; 57198816714; 6603569069; 57219112606; 58775108000; 57204211264; 57208035249; 58759162900; 57188707370; 57203468247; 56471897200; 57216344255; 57211624517; 57206192351; 57193068955; 57204971103; 57209541415; 57204332476; 57575204600; 57205054914; 57190029108; 55328211600; 58002215900; 57208667815; 56017084600; 57214231319; 57215316083; 56950952000; 58101348400; 57224011747; 56471364100; 57468669900; 57208026223; 57202443723; 57791138400; 57210811488; 55816474900; 58616744700; 57202648674; 58099286600; 57223998274; 6507854987; 57210116999; 56293328800; 57201319384; 57581115000; 57230574100; 56050044100; 57249460600; 6506326427; 57216639228; 57170878400; 12796044400; 55960146000; 58490473900; 57208627172; 57432766000; 57189091127";0,440758294
National Amosov Institute of Cardiovascular Surgery of the National Academy of Medical Sciences of Ukraine;5;15;"57345039000; 36712107400; 57338415500; 57221258676; 58037908500; 57912446400; 57338271500; 57221272451; 57215493913; 57188834106; 57345503000; 56461091600; 57221264836; 57812035000; 57337819500";0,333333333
National Amosov Institute of Cardiovascular Surgery;2;12;"58349938200; 57212215088; 6504120488; 57216727856; 57208321910; 7003966153; 36856211400; 57337822300; 57203548955; 57338684800; 57216730488; 57221735440";0,166666667
National Aerospace University “Kharkiv Aviation Institute”;44;101;"57209537448; 57218704755; 8383604200; 57191220899; 57202239038; 7102807762; 57222496095; 58126357500; 57222120278; 7006530598; 57192961558; 57226382634; 57222488706; 58198933300; 41761910800; 58704645200; 26028048100; 57203142885; 57194523801; 57222124194; 56925032900; 57220835013; 57204186366; 57214223812; 57210105682; 7102438809; 55635895100; 57207914339; 57417878300; 57218710916; 57205704859; 57954091500; 6602134282; 56029337600; 55634654000; 57444759400; 57222493079; 57191573314; 7003358846; 23396181700; 54911941800; 57192199954; 23478131700; 57203141190; 58127024700; 57369609300; 57216412439; 57218347380; 57418658200; 57195913632; 57216484591; 57418086000; 57418069200; 57222094287; 57205357625; 57204907264; 57364617100; 57214220648; 57222087786; 57207882161; 57194777356; 57418069100; 57209798601; 57222125911; 57220833706; 57417516700; 57207761125; 55960151500; 57290795400; 6507678966; 57203145725; 57222082570; 57218542303; 57189386760; 57209797691; 57214231847; 57502642900; 57202229519; 57954790500; 57211621104; 7005979784; 12784146300; 57194779158; 57205484208; 23397933100; 57203139152; 16426533400; 22034616000; 58194260300; 57222100721; 57190251606; 57207915447; 55557328000; 57220834070; 57221093842; 57220108735; 55960146000; 57211793853; 57204619131; 56332607800; 56890641400";0,435643564
National Academy of the Security Service of Ukraine;3;16;"27867503300; 57201779205; 58680090700; 57188760033; 57439911000; 57204216184; 8326375900; 57222150311; 57188637896; 57217079699; 55976187900; 57222150177; 57222156624; 57222149028; 57216153537; 57210415371";0,1875
National Academy of Sciences of Ukraine;7;20;"54789863400; 57216353855; 57209913249; 57212448897; 7202496602; 7101892671; 7006742482; 7801579202; 6507111909; 56007395000; 57219777119; 7004132288; 24178598200; 26322687500; 7006221914; 56110310300; 6505900928; 8206833100; 24179449600; 58635947100";0,35
National Academy of Legal Sciences of Ukraine;3;6;"57221997963; 57219318576; 57210135853; 57222123118; 57217737941; 57215499697";0,5
National Academy of Internal Affairs;2;8;"57223116705; 57215524197; 57797291200; 58628422200; 57211914971; 57220107691; 57222469846; 57223116027";0,25
NAS of Ukraine;3;11;"6701701199; 12241370100; 55101211700; 17135506300; 24479899900; 57204558463; 35614941000; 57193364486; 57218240455; 57222154924; 55938268100";0,272727273
N.S. Polyakov Institute of Geotechnical Mechanics;2;4;"56447926500; 57209973825; 6601972942; 56448417600";0,5
N.G. Kholodny Institute of Botany;3;2;"23147271500; 6506932008";1,5
N. S. Kurnakov Institute of General and Inorganic Chemistry;2;18;"6507906622; 55991008000; 55991472200; 6701455659; 7004702101; 7004198405; 54883038100; 56532555100; 9846225400; 55673261800; 7005974432; 24824485400; 35771741000; 6507945534; 57221355652; 23026618900; 57454379800; 7004377893";0,111111111
Mykolayiv National Agrarian University;2;10;"57217604280; 57014969100; 57208991862; 57731836300; 16404114800; 57190021835; 58303909400; 57190126624; 57216176945; 57218104687";0,2
Museum of Nature;2;1;56104411300;2
Modis;2;8;"57202816090; 57222167610; 57216153684; 57889766600; 57433417000; 57214222240; 57740834600; 57219928966";0,25
Marine Hydrophysical Institute;26;51;"6701673521; 57862712800; 37049930500; 23994266100; 7006247713; 57204342554; 6701439810; 55837095400; 6603687318; 6504344211; 57215365188; 36667109100; 6507545681; 6701784981; 7103125868; 7004998153; 57205873490; 57215353416; 7202138991; 12242624500; 6508300982; 23005053800; 56536937200; 6507949694; 57215358204; 57212347523; 57204761335; 57223993297; 6508135457; 36623812000; 8241045700; 55289251200; 16029830700; 6603566261; 7007076932; 8284177100; 13614135800; 6507354504; 6602381894; 57212343784; 57192647961; 6601986841; 25822860800; 7005603811; 6504287971; 6507481336; 42561044300; 42361363400; 7103180224; 57215280421; 57114965600";0,509803922
Management and Marketing Center;6;5;"12788840400; 56273547600; 6602523298; 57201797326; 57210748377";1,2
Main Astronomical Observatory of the National Academy of Sciences of Ukraine;3;8;"7005861552; 55693724200; 6506361033; 7005002831; 7003768220; 57203581246; 35586496700; 57216439603";0,375
Main Astronomical Observatory of the Nas of Ukraine;3;14;"16644308700; 56462619000; 57204946885; 6508270864; 6504426054; 6603185539; 57311572400; 24074597100; 23485306700; 55372967400; 6602304826; 56638463700; 56543311000; 35586496700";0,214285714
Main Astronomical Observatory of the NAS of Ukraine;3;11;"16644308700; 58082045000; 8694491500; 56556907000; 57311572400; 23049443800; 24074597100; 55372967400; 58081695000; 57204946885; 34168321500";0,272727273
Main Astronomical Observatory;25;71;"56205880900; 55322502400; 16644308700; 58752449200; 36701733200; 6603449057; 56601608500; 23049443800; 57191586007; 55372967400; 35893354600; 7006328789; 36009139100; 6504426054; 55208217300; 12768601700; 6507913850; 56249947100; 24465952400; 57191333142; 6506107840; 15126618100; 58000271400; 57198504088; 55208203500; 6602949854; 15741545100; 7005966404; 24070067900; 6701674835; 57188638007; 36772347300; 55208942600; 6508270864; 7006770354; 7003768220; 57311572400; 6602304826; 6701573550; 26021753800; 55208340300; 14042734200; 57213079364; 16241712100; 51462392400; 8694491500; 36450362900; 57191342671; 56638463700; 56543311000; 57204946885; 7004321167; 8520195700; 8983573500; 58752620600; 55348120800; 25623365300; 24465449500; 7801512784; 57216439603; 55608343000; 6701490867; 6603185539; 24074597100; 57203634087; 8897983000; 53984405800; 57191571230; 56486038400; 26021682900; 55322859000";0,352112676
M.S. Poliakov Institute of Geotechnical Mechanics under the National Academy of Sciences of Ukraine;2;4;"57203935509; 57203935553; 57203935586; 57209983520";0,5
M. V. Lomonosov Moscow State University;3;7;"7103218833; 55608343000; 7102624686; 6603104403; 7005645454; 55936419600; 7006162720";0,428571429
M. H. Kholodny Institute of Botany;9;29;"7405517259; 6602090839; 57191335863; 57210721306; 58584989200; 23061425200; 56293730100; 6506913342; 57188870263; 55173600400; 15923942900; 6602932600; 55368625700; 55327213900; 57193746418; 55747240400; 55626528400; 7005096816; 6507207125; 56099979700; 7102090879; 37861803200; 36167593700; 57129418900; 7404104070; 7801519296; 13007843100; 7004260474; 7004571476";0,310344828
Lviv State University of Life Safety;17;38;"57188567411; 57219531711; 57204558265; 57190274702; 57904380900; 57211524873; 27867946500; 56369302200; 57224186489; 57204557554; 57200140097; 57191859439; 57212219645; 57205225539; 57219535874; 57189044558; 57191855576; 57204561106; 57194787567; 58068384900; 6602144470; 57204390839; 57221860471; 57210807861; 57189844586; 57204495055; 57211599964; 57194169062; 57216856141; 57446134600; 57221870305; 57191859739; 57211146169; 57189380158; 57904381000; 57192544987; 57205439227; 6504540942";0,447368421
Lviv State University of Internal Affairs;2;7;"58299989400; 57194699372; 16745159200; 58300079700; 57207569268; 57221462097; 58346224300";0,285714286
Lviv Polytechnic National University;415;742;"58019941900; 57188567411; 57816400300; 57219110473; 57219859769; 57220993649; 57205214083; 58489841500; 6507920066; 57216895192; 6602466028; 36069369100; 57193241325; 58018920300; 58066402300; 57191860704; 57215582319; 57202210835; 57195127104; 57211295171; 57224193786; 57189387618; 42962320400; 57200527876; 57815612300; 57444756600; 57209528737; 57219537964; 57211620220; 54420777000; 36571783300; 57815928700; 24483455500; 57190166089; 55312617400; 58765364000; 24482960900; 57194716460; 58249837600; 24315132000; 57223831767; 57885340500; 56328498400; 57212535641; 57196002225; 57210748716; 57217965035; 55428737300; 57208342655; 22333871500; 57642776100; 57216900485; 57224187961; 57216901145; 57552812600; 57205444338; 58061034800; 57189387163; 57456944800; 56007810100; 57211624058; 57191869338; 57222494498; 57220148205; 56979364400; 57457035600; 57188864596; 57216899382; 57189378423; 57196355828; 57200697723; 57815771300; 57216895767; 57201701043; 58179012100; 57204943549; 55225720500; 57213288434; 57060392400; 56340209800; 55338986000; 58019109200; 57204949103; 57204941391; 24484154400; 57212532494; 57207206470; 57226528305; 57226524898; 21834380800; 57217200195; 7801590982; 57210409232; 36069376300; 6504272188; 57224635006; 57216484811; 6504784216; 57189329580; 24483721700; 23502474400; 57194548043; 24479272400; 57189333184; 57479938300; 57204560375; 57208898204; 46461666400; 57201781103; 57219746667; 57456880300; 57130994800; 57204561106; 57218345668; 57194787567; 57491032600; 57073927700; 58765649000; 57716294700; 56180337400; 57222493264; 57191967462; 24072000100; 57226532459; 55211125700; 56681156900; 57224958601; 57214221903; 57456785800; 57456894800; 10039191600; 57214298464; 36349242400; 57216484132; 24484083900; 21741497000; 57204354670; 57226105319; 57456971600; 57376383200; 55225677200; 57373838900; 14071777700; 57205541065; 57224195469; 25630167800; 57189322232; 57560298100; 57212532694; 14033942100; 22137230600; 57191859439; 57220764300; 57219345897; 57219107945; 57198358655; 57200181809; 57208903412; 55885125200; 57194507106; 8407184400; 54397653400; 57815753000; 57188753579; 36092239300; 35734628100; 57204914133; 57219533387; 57195572950; 57216492874; 35773337400; 57212410139; 57202219233; 23479890500; 57164002600; 57204939533; 57221874269; 57218346060; 57220764608; 57226523887; 57218345937; 55400506500; 57222495650; 58066091900; 56287826100; 26868037300; 7005343651; 57670244000; 8413964400; 57188802596; 57191407841; 57221860325; 57196084435; 57211200048; 57195404131; 57208081727; 57219532730; 55485484400; 57215661021; 57456850300; 57212560353; 55658587900; 57221919290; 57203618952; 58765426400; 57223105401; 57210573166; 57209538645; 57787738800; 57220767841; 57210410402; 57445829900; 57219008106; 56566614900; 57223005097; 57671758100; 57190168434; 57200182711; 57215410548; 57212532898; 57217115226; 57224954978; 56287766100; 57816705200; 57204914282; 18133765600; 57224201611; 7801673266; 57210685044; 37122321800; 57219537244; 57208903404; 58349158400; 57815598900; 57224947930; 57210281813; 57221983969; 58178811300; 57211998215; 57208905270; 57204923811; 24479552900; 57686638700; 55858934300; 57188570712; 58066066300; 57816723300; 58066688800; 57195886168; 57226541892; 57711585900; 57211622785; 57201009544; 57208902437; 57224950357; 57210286606; 57218794570; 58287399200; 6602734679; 57210416121; 8644962500; 57224190931; 24483963200; 56658681200; 57215363948; 57220766157; 57226101995; 57193993937; 55225639600; 58490097700; 58179355800; 57219602994; 24482887400; 57191242481; 57191420511; 36600937300; 57191580259; 57189381388; 58066695800; 6602615475; 56446930100; 57204941407; 57815611300; 57189382145; 57211628698; 58490106700; 57198346128; 57202819882; 57226784460; 24829993600; 8917639900; 57216895243; 57189383267; 57222387801; 6507487726; 57201519160; 58781357500; 57211207599; 57210281749; 6701840218; 56511716700; 57218683902; 37562161300; 57191243716; 6504570604; 55225979800; 57815771200; 56437585400; 58061103500; 27868100200; 24482851100; 55210843200; 57204560043; 57200174627; 57208900184; 58101295700; 57216031565; 12240482000; 57217115170; 57211376408; 57189380158; 38461401100; 57224946515; 57208909008; 57195918531; 57327411400; 57211621118; 24831346400; 57220763975; 6603085655; 57217083342; 56350959300; 57200319762; 58765303400; 58765599000; 57224188299; 57204937850; 57222725650; 57669940700; 57457042700; 57189330822; 57204921512; 58178975400; 57445620700; 57215340452; 57220993648; 57218347743; 24479846600; 35100398600; 57189324938; 16479742300; 57217115729; 35365171000; 57373469000; 58160817800; 57211626257; 56979297100; 55920578700; 55481055000; 57834809700; 58738395900; 57289744000; 35868028100; 57191957246; 57209534097; 36068917100; 57208343279; 57486483200; 24479832900; 37561840600; 57208669246; 57216933737; 57226541811; 57189323863; 57190374581; 57189331968; 6506122326; 57218347077; 57191852972; 57224186041; 57191202577; 57218955797; 12791370000; 53363129900; 6504026191; 57670710100; 8088913000; 56156714500; 56781507200; 57216702915; 8644170300; 57224196918; 9041607400; 57216892335; 57218501593; 57205303632; 57188864671; 26767665500; 6701504402; 57204944009; 57486280800; 57214091495; 57213686130; 57203755866; 57204076274; 58765477500; 57220107682; 56368047900; 57236729600; 57191118426; 14830243300; 57204559109; 57444633000; 57456879800; 35795554500; 57191865902; 15020492300; 57216432972; 58002213500; 57210420799; 24723181500; 57715601700; 57816720900; 57220767331; 24483931200; 57205200124; 36069352400; 57188576351; 57552351600; 23007887700; 56983080500; 57223028554; 57189328709; 35612566700; 35868099900; 57202210649; 58179321600; 57192921573; 55596621400; 22635393000; 8410487000; 55225797600; 57202219168; 58067174400; 57209531720; 57211998738; 57201851816; 57191862674; 57202441589; 55984985200; 26867619200; 57220106761; 7006744372; 57218953219; 7801543164; 57208340684; 24483044100; 57351783700; 54957215600; 57218346721; 57220193801; 58284122900; 24484282800; 57226533669; 24344600300; 57282374000; 57214089024; 57192678623; 55675125300; 57194425476; 57204911188; 57217113249; 56328252300; 56367474600; 36091174500; 58765729000; 57200140415; 56738918700; 12790997400; 56638504000; 57201521567; 57189325983; 57204566467; 58204709900; 57224955046; 8218305900; 24722752200; 57224189630; 57189353945; 24479843500; 57211627477; 6602604864; 57203371750; 55225639700; 58019423100; 57226538315; 8218306100; 57742937100; 57202221912; 57816398800; 57224203474; 57191410341; 16232461500; 24314779100; 57203146900; 24831290800; 56487905400; 57218347317; 57205202109; 55816818300; 38461225700; 57220198250; 57194164968; 58019571700; 36069232000; 36069242600; 57210284358; 57191864463; 57216896254; 35796044000; 57816720300; 35867827400; 57217115505; 57209102654; 57393435100; 57208908522; 57218492241; 57374007300; 36882890000; 24482879100; 58652166100; 57189378644; 57217113704; 57445617900; 57216896155; 57222488672; 57226526533; 57224197455; 57202442512; 8956518300; 57374362200; 57212527793; 57194415126; 57283960100; 57207307024; 57189329194; 36070271300; 57194160635; 57202220303; 58489711600; 36104383200; 57205614904; 36069104500; 57213072743; 26435137200; 57189319470; 57217014053; 55225672300; 58765301600; 6602569305; 57200312703; 57456978800; 57226530888; 57189326140; 57844174500; 57215590974; 57211628068; 57711072000; 57212533957; 57216897053; 55792058700; 57198358626; 57170613200; 57198357517; 57216487720; 6507589303; 36069374300; 57200068730; 55976471700; 57209532921; 57220785473; 57205433072; 54419637600; 36195660900; 57211624283; 58019005500; 57194688820; 57219357568; 23470833800; 58179182100; 57208904970; 24479460500; 57217114344; 56008227000; 57210290831; 57211296464; 57226529221; 27867946500; 57226672923; 58250068500; 57204568083; 58494150900; 6602597868; 35609532100; 57816242000; 57204917951; 57200786767; 57202453582; 57200138686; 55225547900; 55225607600; 57226530471; 57194419499; 46061103500; 58029641100; 57204076679; 24484208600; 57219591847; 57226523591; 57194163686; 7007068370; 57643366000; 57218569355; 57220194329; 57015285100; 55225677300; 57210789694; 35518445600; 6602577533; 57200044667; 55226109400; 57189374702; 24480180700; 57224190567; 57200917607; 57191865839; 25122153300; 58019756900; 57224954547; 57203399037; 57191955205; 57907400000; 55053351700; 55225685600; 58739872800; 57221867049; 56667589100; 57224195580; 57218346537; 58019698300; 57224184312; 57205312532; 57456882600; 57224192856; 57221864019; 57816704900; 57217114273; 57208338884; 57191954570; 24484045400; 58179268200; 24477221900; 57224184267; 57779905500; 6507291021; 55975814000; 57204937490; 58178875200; 35109294500; 57210409647; 24484163500; 55226030000; 58066825300; 6503846106; 57815615100; 57208666027; 6508258144; 57457255600; 57189375884; 56020802700; 57224203029; 57226540226; 57224193208; 57816552300; 6701762312; 57217490587; 57226539854; 57200141350; 58296155100; 57195506070; 57226532359; 58266611100; 57188577075; 57210411710; 57224200323; 57209532261; 57215341154; 57204941063; 55948382100; 57209338834; 55816397200; 57189330191; 57163746300; 58066697600; 57444530300; 57204565838; 7101883783; 57202703694; 56814493900; 57456777800; 57198354193; 55225672200; 24479899900; 55513309600; 57193995645; 17433321700; 36622919400; 57815614700; 57196370192; 57218346070; 51561792400; 22334383000; 57815615000; 6602604353; 57217309969; 57221871002; 24484277800; 57218345886; 57218347179; 57191616821; 57208900511; 57190402818; 57224949058; 57210313109; 58205324700; 57215359741; 57198350314; 58204833600; 57224195349; 57224635005; 35093308800; 57195508804";0,559299191
Lviv National Polytechnic University;2;7;"24315132000; 57170891900; 57156647600; 57844174500; 57200316807; 16031058500; 26032640400";0,285714286
Lviv National Environmental University;3;9;"57205225539; 58577233700; 57210807861; 57219890504; 57216856141; 58570943900; 57205218805; 58405407700; 6504540942";0,333333333
Lviv Ivan Franko National University;2;7;"57191852972; 36571783300; 58421899000; 56446930100; 57686638700; 8218306100; 26868037300";0,285714286
Lutsk National Technical University;5;17;"55145665500; 56447150300; 58765115700; 57192960064; 22034616000; 55963472900; 56520377000; 57192954953; 56520138000; 57003597300; 57572740100; 56677779400; 57788045200; 57338605300; 57192961359; 58764253700; 57197851362";0,294117647
Lublin University of Technology;2;8;"7006559975; 6603193226; 57105501800; 57195683902; 57195363451; 55645191800; 57189099973; 7005121594";0,25
LNDES;5;15;"16402414700; 57191223783; 24175308600; 57217210048; 35616087900; 6701493067; 12795139300; 7005074074; 56736687800; 36474015200; 56114367900; 8641218700; 52663657700; 35275247900; 24174925300";0,333333333
Liverpool John Moores University;2;4;"57201151720; 57201157311; 57201154764; 56192063300";0,5
LIMED Laboratory;2;9;"58205569200; 58688748200; 58202203500; 56515490200; 58490487500; 58490487600; 57218181382; 58688527100; 25640887200";0,222222222
Lesya Ukrainka Volyn National University;2;7;"57218345616; 57226536177; 58095661900; 57209253304; 57218347265; 57204841299; 57221874892";0,285714286
Lesya Ukrainka Eastern European National University;2;7;"57221864523; 57218345616; 57222901432; 57221874524; 57218347265; 57221874397; 57221874892";0,285714286
Lebedev Physical Institute;2;2;"56610211700; 6507630549";1
Laboratory of Holography;2;3;"8633977800; 8633977600; 8633977700";0,666666667
Laboratory of Astrometry Institute of Astronomy;2;11;"57206505615; 57021260000; 57194480930; 57021830100; 56866386100; 57204242571; 57021874100; 26021753800; 56866310000; 56486038400; 26021682900";0,181818182
Laboratory for Nonlinear Dynamics of Electronic Systems (LNDES);3;5;"16402414700; 35616087900; 52663657700; 35275247900; 24174925300";0,6
Laboratory for Molecular Modeling;2;13;"35459284800; 57193492023; 57000654800; 6508005649; 57056269300; 57202734940; 57193492919; 36007991400; 57200971105; 24436635900; 6701598389; 57218222268; 56955490200";0,153846154
LabMol - Laboratory for Molecular Modeling and Drug Design;2;9;"57000654800; 56071757400; 55320538100; 36514094800; 24577844400; 6507355684; 24436635900; 57202771562; 55953470500";0,222222222
L.M. Litvinenko Institute of Physical Organic and Coal Chemistry;2;3;"7006052868; 15119072900; 7006380024";0,666666667
L. V. Pisarzhevskii Institute of Physical Chemistry;2;4;"7003592801; 6507209302; 6508170272; 6602513303";0,5
Kyiv Polytechnic Institute;2;3;"55027316700; 57206489823; 56105504500";0,666666667
